-	/fruits	/fruits/shape	/fruits/texture	/fruits/position	/fruits/hairs	/fruits/colour	/fruits/apex	/fruits/apex/shape	/fruits/apex/texture	/fruits/apex/position	/fruits/apex/hairs	/fruits/dimensions (merged)	/fruits/dimensions (merged)/texture	/fruits/stigma	/fruits/stigma/shape	/fruits/stigma/hairs	/fruits/stigma/growth form	/habit	/habit/texture	/habit/hairs	/habit/growth form	/habit/height	/inflorescences	/inflorescences/shape	/inflorescences/position	/inflorescences/colour	/inflorescences/floral bracts	/inflorescences/floral bracts/shape	/inflorescences/floral bracts/margin type	/inflorescences/floral bracts/hairs	/inflorescences/floral bracts/colour	/inflorescences/growth form	/inflorescences/growth form/growth form	/inflorescences/peduncle	/inflorescences/peduncle/shape	/inflorescences/peduncle/hairs	/inflorescences/peduncle/colour	/inflorescences/peduncle/length	/inflorescences/position	/inflorescences/position/colour	/inflorescences/rachises	/inflorescences/rachises/hairs	/inflorescences/rachises/colour	/inflorescences/spikes	/inflorescences/spikes/shape	/inflorescences/spikes/growth form	/inflorescences/spikes/colour	/inflorescences/spikes/length	/infructescences	/infructescences/growth form	/infructescences/colour	/infructescences/dimensions (merged)	/infructescences/dimensions (merged)/texture	/internodes	/internodes/hairs	/internodes/colour	/leaves	/leaves/blade	/leaves/blade/shape	/leaves/blade/texture	/leaves/blade/hairs	/leaves/blade/colour	/leaves/blade/apex	/leaves/blade/apex/shape	/leaves/blade/apex/hairs	/leaves/blade/base	/leaves/blade/base/shape	/leaves/blade/base/hairs	/leaves/blade/base/growth form	/leaves/blade/base/colour	/leaves/blade/base/differential distance	/leaves/blade/dimensions	/leaves/blade/dimensions/growth form	/leaves/blade/margins	/leaves/blade/margins/shape	/leaves/blade/margins/hairs	/leaves/blade/shape	/leaves/blade/shape/shape	/leaves/blade/texture	/leaves/blade/texture/colour	/leaves/petiole	/leaves/petiole/texture	/leaves/petiole/position	/leaves/petiole/hairs	/leaves/petiole/colour	/leaves/petiole/length	/leaves/veins	/leaves/veins/shape	/leaves/veins/texture	/leaves/veins/position	/leaves/veins/hairs	/leaves/veins/colour	/stems	/stems/shape	/stems/texture	/stems/hairs	/stems/growth form	/stems/colour	/stems/length	/habitat	/habitat/growth form	/habitat/colour	/habitat/altitude	
Piper amalago 	Fruits ovoid, conical to apex, |, glabrous or papillose, 	conical,ovoid	-	-	glabrous	-	-	-	-	-	-	ca. 1 mm in diam. |, 1.5-2 mm long	-	stigmas 3-4, sessile.	-	-	-	Shrub, 	-	-	-	2-4(-7) m tall	-	-	-	-	floral bracts cucullate, glabrous; 	cucullate	-	glabrous	-	erect	erect	peduncle |, glabrous; 	-	glabrous	-	0.8-1.5 cm long	-	-	rachis minutely pubescent; 	pubescent	-	spike |, not apiculate; 	apiculate	-	-	6-7 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	apex acuminate, 	acuminate	-	base equally attached to petiole, acute to subcordate, glabrous or pubescent on veins below; 	acute to subcordate	glabrous or pubescent	-	-	-	8-11(-15) x 2.5-6(-10) cm	-	-	-	-	lanceolate to rounded or subobovate	ob,ovate,rounded	-	-	Petiole slender, |, vaginate up to middle, glabrous or pubescent; 	-	-	glabrous or pubescent	-	0.5-1 cm long	palmately 5-7-veined, tertiary venation obscure. 	ob	-	-	-	-	Stem glabrous or minutely pubescent on upper internodes. 	-	-	glabrous,pubescent	-	-	-	-	-	-	from sea level to 1500 m	
Piper angustifolium 	fruits depressed globose or obovoid, |, glabrous, 	globose or ob,ovoid	-	-	glabrous	-	-	-	-	-	-	ca. 2.5 mm wide (when dried)	-	stigmas 3(-4?), sessile.	-	-	-	Shrub or subshrub 	-	-	-	to 1.5 m tall	-	-	-	-	floral bracts cucullate, glabrous. 	cucullate	-	glabrous	-	erect	erect	peduncle |, retrorsely pubescent; 	-	pubescent	-	0.2-0.4(-0.7) cm long	-	-	-	-	-	spike almost globose, |, apiculate; 	apiculate,globose	-	-	to 1 x 1.5 cm	Infructescence erect, green;      	erect	green	-	-	-	-	-	-	blade |, not conspicuously glandular-dotted, |, 	-	-	-	-	apex long-acuminate, 	acuminate	-	base equal or almost equally attached to petiole, acute, glabrous; 	acute	glabrous	-	-	-	5-11 x 1-2.8 cm	-	-	-	-	narrowly lanceolate	-	not scabrous	-	petiole |, vaginate at base, retrorsely pubescent; 	-	-	pubescent	-	0.1-0.4 cm long	pinnately veined, secondary veins 6-10 per side, originating from throughout primary vein, plane above, prominulous below, anastomosing well within margin. 	-	thin	-	-	-	Stem retrorsely pubescent with swollen nodes. 	-	-	pubescent	-	-	-	in primary forest, 	-	-	up to 500 m	
Piper anonifolium 	fruits depressed globose, glabrous,       	globose	-	-	glabrous	-	-	-	-	-	-	-	-	stigmas 3, sessile.	-	-	-	Shrub, occasionally a tree, |, nodose, glabrous. 	-	glabrous	-	0.5-3 m tall	-	-	-	-	floral bracts cucullate, not fringed, often greyish when dried; 	cucullate	-	-	greyish	erect	erect	peduncle 	-	-	-	0.5-1 cm long	-	-	rachis glabrous; 	glabrous	-	spike |, white, yellow or (greyish) green, apiculate; 	apiculate	-	green,greyish,white,yellow	2.5-4(-5) cm long	Infructescence 	-	-	to 1.2(-2) cm thick	thick	-	-	-	-	blade |, somewhat glandular-dotted, often bicoloured, sometimes glaucous or whitish below in vivo, drying silvery shiny, |, 	-	-	-	red,silver,whitish	apex acute to short-acuminate, 	acuminate,acute	-	base equal or almost equally attached to petiole, cuneate or acute, glabrous; 	cuneate or acute	glabrous	-	-	-	8-16 x 2-4.7 cm	-	-	-	-	lanceolate to oblong to elliptic or ovate, 3-4 x longer than wide	oblong,ovate	thin-coriaceous to coriaceous, may be somewhat rugose, not scabrous	-	Petiole |, canaliculate, ciliate on margin or keel, vaginate at base only; 	-	-	ciliate	-	0.5-1 cm long	pinnately veined, secondary veins 8-12 per side, originating from throughout primary vein, plane to impressed above, prominent below, tertiary veins reticulate. 	-	-	-	-	-	Stem glabrous except for 1 or 2 subnodal lines of hairs decurrent from petioles. 	decurrent	-	glabrous,hairs	-	-	-	-	-	-	-	
Piper arboreum 	Fruits dark green, laterally compressed, oblongoid or obovoid, |, glabrous or slightly papillose, 	oblongoid or ob,ovoid	-	lateral	glabrous	green	-	-	-	-	-	0.8-1 mm in diam. |, 2 mm long	-	stigmas 3-4, sessile.	-	-	-	Shrub or treelet, |, sometimes with long, arching branches, often strongly branching. 	-	-	-	2-7 m tall	-	-	-	-	floral bracts |, densely marginally fringed, conspicuously arranged in whorls; 	-	-	-	-	erect	erect	peduncle moderately stout, 	-	-	-	0.5-1 cm long	-	-	rachis glabrous; 	glabrous	-	spike |, whitish, yellow or pale green, apiculate, densely flowered; 	apiculate	-	green,red,whitish,yellow	5-10(-17) cm long	-	-	-	-	-	-	-	-	-	blade shiny green above, lighter to whitish below, 	-	-	-	green,whitish	apex acute to (long-)acuminate, 	acuminate,acute	-	base unequally attached to petiole difference |, longest side obtuse, rounded to cordulate, in narrow leaves acute, shorter side acute to obtuse, glabrous or minutely pubescent below; 	acute to obtuse,rounded	glabrous,pubescent	-	-	0.5-1(-3) cm (less in young leaves)	10-25 x 6-11 cm	-	margin protracted beyond base of blade forming a ligule-like structure to 4 mm long	-	-	oblong-ovate, (narrowly) ovate or (narrowly) elliptic	oblong,ovate	-	-	Petiole glabrous or minutely pubescent, |, deeply vaginate, 	-	-	glabrous,pubescent	-	0.3-2 cm long	pinnately veined, secondary veins 8-10 per side, originating from throughout primary vein, loop-connected towards apex, tertiary veins inconspicuously reticulate. 	-	-	-	-	-	Stem glabrous or minutely pubescent, upper internodes smooth or somewhat lenticellate. 	-	smooth	glabrous,pubescent	-	-	-	in moist tropical rain forest high, dense, mixed or swamp forest, occasionally in secondary vegetation, 	-	-	from sea level to 1500 m	
Piper augustum 	Fruits oblongoid, glabrous, may be somewhat papillose, |, becoming stylose or mammiform at apex, 	oblongoid	-	-	glabrous	-	-	-	-	-	-	2 mm in diam. |, to 4 mm long	-	stigmas obsolete.	ob	-	-	Shrub or treelet, |, glabrous, except for ciliate leaf margin. 	-	ciliate,glabrous	-	to 2-4(-8) m tall	-	-	-	-	floral bracts densely marginally fringed. 	-	-	-	-	pendent, may be erect or horizontal at first	erect,pendent	peduncle glandular-dotted, |, red to brown; 	-	-	red to brown	1-2(-3) cm long	-	-	rachis glabrous, sometimes red; 	glabrous	red	spike 	-	-	-	4-20 cm long	-	-	-	-	-	-	-	-	-	blade glandular-dotted, 	-	-	-	-	apex acute, 	acute	-	base almost equal to unequally attached to petiole, acute or obtuse, occasionally truncate; 	acute or obtuse,truncate	-	-	-	-	15-35 x (6-)9-15(-18) cm	-	margin ciliate, 	-	ciliate	elliptic-ovate to oblong-elliptic	ovate to oblong	-	-	Petiole |, vaginate at base; 	-	-	-	-	0.5-4 cm long	pinnately veined, secondary veins 10-16 per side, strongly curved, originating from throughout primary vein. 	-	-	-	-	-	-	-	-	-	-	-	-	often in humid places, also recorded from secondary vegetation, 	-	-	from sea level to 1500 m	
Piper aulacospermum 	Fruits 4-sulcate, globose, |, truncate at apex, glabrous, 	globose,truncate	-	-	glabrous	-	-	-	-	-	-	3-4.5 mm in diam.	-	stigmas 4, globose, sessile; 	globose	-	-	Small shrub, |, sparingly branched. 	-	-	-	1-2.5 m tall	Inflorescence |, white, becoming green; 	-	-	green,white	floral bracts saccate or galeate, glabrous, densely fimbriate; 	-	-	glabrous	-	erect	erect	peduncle |, minutely pubescent; 	-	pubescent	-	1 cm long	-	-	-	-	-	spike |, not apiculate; 	apiculate	-	-	0.5-1 x 0.1-0.2 cm long, in fruit 2.5-4.5 x 0.3-0.45 cm	-	-	-	-	-	-	-	-	-	blade |, not conspicuously glandular-dotted, |, 	-	-	-	-	apex abruptly long-acuminate, 	acuminate	-	base equal or almost equally attached to petiole, acute, glabrous; 	acute	glabrous	-	-	-	13-16.5 x (3.5-)4-6.5 cm	-	-	-	-	oblong or elliptic-oblong	oblong	thick chartaceous, not scabrous	-	Petiole |, glabrous, deeply vaginate at base; 	-	-	glabrous	-	0.7-1.3 cm long	pinnately veined, secondary veins 8-12 per side, prominent on both sides, anastomosing well within margin, originating from throughout primary vein, tertiary veins widely, distinctly reticulate. 	-	thin	-	-	-	Stem striate or canaliculate, glabrous. 	-	-	glabrous	-	-	-	in lowland moist forest, 	-	-	200-450 m	
Piper avellanum 	Fruits trigonous or depressed globose, |, glabrous and papillose, 	globose	-	-	glabrous	-	-	-	-	-	-	to 2 mm in diam.	-	stigmas 3, sessile.	-	-	-	Shrub or subshrub |, densely short crisp-pubescent, hairs 	-	hairs,pubescent	-	to 2 m tall	-	-	-	-	floral bracts densely marginally fringed. 	-	-	-	-	pendent	pendent	peduncle slender, |, pubescent; 	-	pubescent	-	0.5-1 cm long	-	-	rachis glabrous; 	glabrous	-	spike |, white, yellow or green, occasionally apiculate or not; 	apiculate	-	white,yellow	3-5.5(-10) cm long	-	-	-	-	-	-	-	-	-	blade not conspicuously glandular-dotted, 	-	-	-	-	apex short-acuminate or acute, 	acuminate or acute	-	base unequally attached to petiole difference |, rounded, obtuse or subacute, glabrous or sparsely short-pubescent above, sparsely to densely so below; 	obtuse or subacute,rounded	glabrous,pubescent	-	-	0.1-0.5 cm	7-18 x 3-7.5 cm	-	margin ciliate, 	-	ciliate	lance-elliptic or lanceolate-oblong or oblanceolate	oblong or ob	-	-	Petiole |, vaginate to apex, often conspicuously winged, green or maroon; 	-	-	-	green or maroon	0.3-1.3 cm long	pinnately veined, secondary veins 5-6(-8) per side, originating from lower 3/4 of primary vein. 	-	-	-	-	-	-	-	-	-	-	-	-	in (dense) forest, in river-bank or marsh forest and in secondary vegetation.	-	-	-	
Piper bartlingianum 	Fruits ovoid to tetragonous, separate, somewhat ridged or winged (at least when dried), glabrous may be somewhat papillose,      	ovoid	-	-	glabrous	-	-	-	-	-	-	-	-	stigmas 4, sessile.	-	-	-	Shrub, subshrub or treelet, |, somewhat nodose, glabrous. 	-	glabrous	-	1-4 m tall	-	-	-	-	floral bracts cucullate, pilose on inner side. 	cucullate	-	pilose	-	erect	erect	peduncle |, glabrous; 	-	glabrous	-	1 cm long	-	-	rachis hirsute; 	hirsute	-	spike |, green, not apiculate; 	apiculate	-	green	10-12 cm long	-	-	-	-	-	-	-	-	-	blade glossy, |, not conspicuously glandular-dotted, |, 	-	-	-	-	apex acuminate, 	acuminate	-	base equal or almost equally attached to petiole, acute, glabrous; 	acute	glabrous	-	-	-	13-30 x 5-8(-10) cm	-	-	-	-	elliptic-oblong	oblong	coriaceous, not scabrous	-	Petiole |, glabrous, vaginate near or at base; 	-	-	glabrous	-	0.5 cm long	pinnately veined, secondary veins 6-8 per side, flat to impressed above, prominent below, anastomosing well within margin, originating from throughout primary vein, tertiary veins widely reticulate. 	flat	thin	-	-	-	-	-	-	-	-	-	-	in forest on terra firme and in marsh forest, on sand, clay or granite, 	-	-	up to 700 m	
Piper bolivaranum 	fruits trigonous, |, glabrous, green, 	-	-	-	glabrous	green	-	-	-	-	-	to 1 mm wide	-	stigmas 3, sessile.	-	-	-	Subshrub 	-	-	-	to 0.1-1.5 m tall	-	-	-	-	floral bracts trigonous, densely marginally fringed. 	-	-	-	-	erect or pendent	erect or pendent	peduncle |, glabrous; 	-	glabrous	-	0.5-1.1(-2.5) cm long	-	-	-	-	-	spike|, white, not apiculate; 	apiculate	-	white	1-1.7(-4.5) cm long	Infructescence erect, green;      	erect	green	-	-	-	-	-	-	blade |, not conspicuously glandular-dotted, |, 	-	-	-	-	apex long-acuminate, 	acuminate	-	base equal, acute, glabrous above, glabrescent or glabrous below; 	acute	glabrous	-	-	-	7-10.5(-16.5) x 0.7-1.5(-4.5) cm	-	-	-	-	narrowly lanceolate	-	not scabrous	-	Petiole |, glabrous, vaginate to apex; 	-	-	glabrous	-	(0.2-)0.4-0.6(-1) cm long	pinnately veined, secondary veins 2-3 per side, originating from lower 1/2 or 2/3 of primary vein, with many intermediates up to apex, secondary veins plane above, prominulous below, tertiary veins parallel. 	-	-	-	-	-	Stem glabrous. 	-	-	glabrous	-	-	-	-	-	-	800-1100 m	
Piper brasiliense 	fruits globose, depressed at apex, densely crisp-pubescent,       	globose	-	-	pubescent	-	-	-	-	-	-	-	-	stigmas 3, recurved, on long, pilose style.	-	pilose	recurved	Small shrub, 	-	-	-	to 1 m tall	-	-	-	-	floral bracts narrowly sublunulate, sparsely puberulous. 	-	-	puberulous	-	pendent	pendent	peduncle |, densely pubescent; 	-	pubescent	-	0.3-0.4 (0.8 in fruit) cm long	-	-	-	-	-	spike |, not apiculate?; 	apiculate	-	-	1-1.5 cm long	Infructescence pendent, 	pendent	-	2.5 cm long |, ca. 1 cm thick	thick	-	-	-	-	blade |, densely glandular-dotted below, |, 	-	-	-	-	apex acute to slightly acuminate, 	acuminate,acute	-	base unequally attached to petiole difference |, narrowing to lobed base, lobes shorter than petiole, unequal, longer one subreniform, overlapping petiole, blade glabrous above, densely pubescent with long hairs below including veins; 	ob,subreniform	glabrous,hairs,pubescent	-	-	0-0.2 cm	9.5-16 x 3.5-7.2 cm	-	-	-	-	(narrowly) elliptic to subobovate	ob,ovate	not scabrous	-	Petiole |, densely pubescent with long hairs, vaginate at base; 	-	-	hairs,pubescent	-	0.5-1 cm long	pinnately veined, secondary veins 6-11 per side, originating from throughout primary vein, prominulous above, prominulous below, tertiary veins reticulate. 	-	-	-	-	-	Stem densely retrorsely pubescent with hairs 	-	-	hairs,pubescent	-	-	-	-	-	-	up to 650 m	
Piper brownsbergense 	fruits depressed-globose to obovoid, glabrous or papillate at apex, substylose,       	globose to ob,ovoid	-	-	glabrous	-	-	-	-	-	-	-	-	stigmas 3.	-	-	-	Small shrub or subshrub, 	-	-	-	0.15-1.5 m tall	-	-	-	-	floral bracts triangular-subpeltate, marginally fringed. 	triangular	-	-	-	pendent under leaves	pendent	peduncle |, pilose, glabrescent; 	-	glabrescent,pilose	-	1-2 cm long	-	-	-	-	-	spike 	-	-	-	to 5.5 cm long	Infructescence pendent;      	pendent	-	-	-	upper internodes drying finely ridged. 	-	-	-	blade glandular-dotted, 	-	-	-	-	apex acute to acuminate, 	acute to acuminate	-	base equal or unequally attached to petiole difference |, subcordate or obtuse, shorter side cuneate, pilose above, more densely so below; 	subcordate or obtuse	pilose	-	-	0.2-0.3 cm	(7-)11-21 x (3-)4-11 cm	-	margin ciliate, 	-	ciliate	elliptic, lanceolate-oblong or ovate	oblong or ovate	somewhat scabrous	-	Petiole |, pilose; 	-	-	pilose	-	(0.2-)0.3-0.5(-3.5) cm long	secondary veins 4-7(-9) per side, originating from throughout primary vein, tertiary venation widely reticulate. 	-	-	-	-	-	Stem somewhat yellow-glandular, pilose, hairs 	-	-	hairs,pilose	-	yellow	-	-	-	-	from sea level to 700 m	
Piper cernuum 	Fruits obovoid, |, puberulent at apex, 	ob,ovoid	-	-	puberulent	-	-	-	-	-	-	to 8 mm long |, ca. 2-2.5 mm wide	-	stigmas 3, sessile, 	-	-	-	Shrub or treelet, 	-	-	-	2-6 m tall	-	-	-	-	floral bracts marginally fringed; 	-	-	-	-	pendent	pendent	peduncle |, densely pubescent; 	-	pubescent	-	1-3(-5) cm long	-	-	rachis glabrous; 	glabrous	-	spike |, yellow, not apiculate; 	apiculate	-	yellow	20-60 cm long	-	-	-	-	-	-	-	-	-	blade |, not glandular-dotted, |, 	-	-	-	-	apex acute, 	acute	-	base equal or almost equally attached to petiole, deeply unequally lobed, glabrous or sparsely pubescent above, veins glabrescent above, densely pubescent below; 	ob	glabrous,pubescent	-	-	-	23-60 x 14-28 cm	-	-	-	-	broadly ovate to elliptic-ovate	ovate	not scabrous	-	Petiole vaginate to apex, |, densely pubescent; 	-	-	pubescent	-	4-9 cm long	pinnately veined, secondary veins 5-8 per side, originating from lower 3/4 or more of primary vein, flat above and prominulous below, tertiary veins widely reticulate or sometimes transverse. 	flat	-	-	-	-	Stem densely pubescent. 	-	-	pubescent	-	-	-	in moist forest, swampy vegetation and stream sides,	-	-	from sea level to 700 m	
Piper ciliomarginatum 	fruits trigonous, |, glabrous, 	-	-	-	glabrous	-	-	-	-	-	-	0.4 mm wide	-	stigmas 3, sessile.	-	-	-	Shrub 	-	-	-	to 1-3 m tall	-	-	-	-	floral bracts densely marginally fringed. 	-	-	-	-	erect	erect	peduncle |, glabrous; 	-	glabrous	-	0.8-1.6 cm long	-	-	-	-	-	spike |, white, not apiculate; 	apiculate	-	white	2-8 cm long	Infructescence pendent, |, green; 	pendent	green	7-8 cm long |, 3 cm thick	thick	-	-	-	-	blade |, densely glandular-dotted, |, 	-	-	-	-	apex acute to acuminate, 	acute to acuminate	-	base equal or somewhat unequally attached to petiole difference |, acute or obtuse or rounded or subcordate, glabrous on both surfaces; 	acute or obtuse,obtuse or rounded,rounded or subcordate	glabrous	-	-	0-4 mm	13-22 x 6-11 cm	-	margin ciliate, 	-	ciliate	elliptic-ovate to broadly ovate	ovate	not scabrous	-	Petiole of lower leaves |, of upper leaves |, glabrous, vaginate or winged to apex; 	-	-	glabrous	-	0-0.3 cm long	pinnately veined, secondary veins 46 per side, originating from lower 1/2 of primary vein, flat above and below, tertiary veins reticulate. 	flat	-	-	-	-	Stem glabrous. 	-	-	glabrous	-	-	-	-	-	-	to 850 m	
Piper consanguineum 	fruits depressed globose, |, papillose, green, becoming exserted, 	globose	-	-	-	green	-	-	-	-	-	to 3 mm in diam.	-	stigmas 3, recurved on a very short style.	-	-	recurved	Herbaceous small shrub, |, sometimes creeping, retrorsely crisp-pubescent. 	-	pubescent	creeping	0.1-0.5 m tall	-	-	-	-	floral bracts cucullate, glabrous; 	cucullate	-	glabrous	-	pendent	pendent	peduncle |, glabrescent; 	-	glabrescent	-	to 0.5 cm long	-	-	rachis pubescent. 	pubescent	-	spike erect, |, white, yellow to green, apiculate; 	apiculate	erect	white,yellow	1.5-2.5 cm long	Infructescence |, green or brownish; 	-	green or brownish	1-3 x 0.8-1 cm	-	-	-	-	-	blade dark green above often with a pale or white band along primary vein, pale green below, not conspicuously glandular-dotted, 	-	-	-	green,white	apex obtuse-acute to acuminate, 	acute to acuminate,ob,obtuse	-	base equal or almost equally attached to petiole, rounded to subcordate, glabrous above, crisp-pubescent below especially on veins; 	rounded to subcordate	glabrous,pubescent	-	-	-	3.5-7(-12) x 1-2(-3.5) cm	-	-	-	-	narrowly elliptic or lanceolate-oblong	oblong	-	-	Petiole |, crisp-pubescent, vaginate near base; 	-	-	pubescent	-	0.2-1.5 cm long	pinnately veined, secondary veins 6-12 per side, originating from throughout primary vein, clearly anastomosing within margin. 	-	thin	-	-	-	-	-	-	-	-	-	-	understorey of primary forest or swampy forest, or open forest on laterite; 	-	-	up to 650 m	
Piper coruscans 	fruits obovoid or somewhat angular, depressed at apex, |, glabrous, green, 	angular,ob,ovoid	-	-	glabrous	green	-	-	-	-	-	0.8-1 mm wide	-	stigmas 3, sessile.	-	-	-	Shrub or subshrub 	-	-	-	to 1-3 m tall	-	-	-	-	floral bracts rounded to trigonous, densely marginally fringed. 	rounded	-	-	-	erect	erect	peduncle |, glabrous; 	-	glabrous	-	0.5-1(-2.5) cm long	-	-	-	-	-	spike |, white, apiculate; 	apiculate	-	white	8-11 cm long	Infructescence erect, green;      	erect	green	-	-	-	-	-	-	blade |, often drying yellowish or greyish green, not scabrous, not conspicuously glandular-dotted below, |, 	-	scabrous	-	green,greyish,yellowish,yellowish or greyish	apex long-acuminate, 	acuminate	-	base equal or almost equally attached to petiole, truncate, rounded or cordulate, glabrous above or primary vein somewhat appressed-pubescent, veins appressed-pubescent below; 	rounded,truncate	glabrous,pubescent	-	-	-	11-24 x 6-13 cm	-	-	-	-	broadly ovate to ovate, or even suborbiculate	suborbiculate,ovate	firmly membranous	-	Petiole |, glabrous or sparsely pubescent, vaginate to apex; 	-	-	glabrous,pubescent	-	2-3.2(-6.5) cm long	pinnately veined, secondary veins 4-7 per side, originating from lower 1/2 or lower 2/3 of primary vein, ascending at an angle of 40-45º, plane to impressed above, prominent below, tertiary veins obsoletely transverse. 	ob	-	-	-	-	Stem glabrescent. 	-	-	glabrescent	-	-	-	riverine flood plain forest on white and brown sands, from mud in wet forest on granitic rocks, red clay or deep mud along river, also from swamp forest, 	-	brown,red,white	from sea level to 650 m	
Piper crassinervium 	Fruits rounded, glabrous, with persistent style,      	rounded	-	-	glabrous	-	-	-	-	-	-	-	-	stigmas 3, recurved.	-	-	recurved	Shrub or treelet, 	-	-	-	2-5 m tall	-	-	-	-	floral bracts marginally fringed. 	-	-	-	-	-	-	peduncle stout, |, pubescent; 	-	pubescent	-	0.5-1.5 cm long	-	-	-	-	-	spike 	-	-	-	12-15 x 0.5-0.7 cm	-	-	-	-	-	-	-	-	-	blade |, not glandular-dotted, |, 	-	-	-	-	apex acuminate, 	acuminate	-	base equal or almost equally attached to petiole, truncate or cuneate, but acute to petiole, glabrous above, veins more or less pubescent below; 	acute,cuneate,truncate,truncate or cuneate	glabrous,pubescent	-	-	-	13-20 x 5-13 cm	-	-	-	-	ovate	ovate	not scabrous	-	Petiole |, glabrous or pubescent, vaginate to middle or to apex; 	-	-	glabrous or pubescent	-	ca. 1.5 cm long	pinnately veined, secondary veins 4-5 per side, originating from lower 1/2 of primary vein, prominent below. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Piper cyrtopodum 	Fruits ovoid, |, glandular, glabrous, 	ovoid	-	-	glabrous	-	-	-	-	-	-	ca. 2 mm wide	-	stigmas 3, may be on a short style or fruits apiculate.	apiculate	-	-	Subshrub or herb, 	-	-	-	1-3(-4) m tall	-	-	-	-	floral bracts cucullate and pilose on inner side and at base. 	cucullate	-	pilose	-	pendent	pendent	peduncle |, pilose, often red; 	-	pilose	red	0.9-1.6 cm long	-	-	-	-	-	spike |, not apiculate; 	apiculate	-	-	2.5-5 cm long	-	-	-	-	-	-	-	-	-	blade |, not conspicuously glandular-dotted, |, 	-	-	-	-	apex acuminate or acute, 	acuminate or acute	-	base equal or almost equally attached to petiole, subcordate to rounded, somewhat pilose above, more so below; 	subcordate to rounded	pilose	-	-	-	9-20 x 4-6(-10) cm	-	margin hardly ciliate, 	-	ciliate	elliptic-ovate, elliptic-oblong or lanceolate	oblong,ovate	somewhat scabrous	-	Petiole |, pilose, glabrescent, vaginate to apex, sometimes reddish tinged; 	-	-	glabrescent,pilose	reddish	0.2-1 cm long	pinnately veined, secondary veins (4-)6-8 per side, originating from throughout primary vein, plane above, prominent below. 	-	-	-	-	-	Stem pilose with hairs 	-	-	hairs,pilose	-	-	-	virgin forest, mossy cloud forest, forest on granite and from open places, 	-	-	up to 700 m	
Piper demeraranum 	fruits globose, |, puberulent at apex, 	globose	-	-	puberulent	-	-	-	-	-	-	2-2.5 mm wide	-	stigmas 3, sessile.	-	-	-	Subshrub or shrub, 	-	-	-	1-2.5 m tall	-	-	-	-	floral bracts cucullate, glabrous or dorsally puberulent. 	cucullate	-	glabrous,puberulent	-	erect	erect	peduncle |, pubescent, green; 	-	pubescent	green	to 1 cm long	-	-	rachis glabrous; 	glabrous	-	spike |, white, yellow or green, apiculate; 	apiculate	-	white,yellow	3.5-4.5 cm long	Infructescence |, green; 	-	green	to 6 cm long |, 10 mm wide	-	-	-	-	-	blade |, not glandular-dotted, dark green above, more pale below, |, 	-	-	-	green	apex acuminate, 	acuminate	-	base unequally attached to petiole difference |, unequally cordate, with slightly larger, auriculate lobe mostly covering petiole, glabrous above, crisp-pubescent below; 	auriculate,cordate,ob	glabrous,pubescent	-	-	0.1-0.4 cm	11-26(-35) x 4-9 cm	-	-	-	-	elliptic to oblanceolate	ob	membranous or subcoriaceous, not scabrous	-	Petiole |, crisp-pubescent, vaginate to blade; 	-	-	pubescent	-	0.3-0.5(-1) cm long	pinnately veined, secondary veins 8-11(-14) per side, originating from throughout primary vein, flat to impressed above, prominent below, tertiary veins widely reticulate. 	flat	-	-	-	-	Stem crisp-pubescent or sometimes appressed-pubescent. 	-	-	pubescent	-	-	-	in dense forest, montane forest, growing on brown sand with granite boulders or on sandstone	-	brown	20-720 m	
Piper dilatatum 	Fruits trigonous, glabrous, or with some hairs at top,      	-	-	-	glabrous,hairs	-	-	-	-	-	-	-	-	stigmas 3, sessile.	-	-	-	Shrub or subshrub 	-	-	-	to 4 m tall	-	-	-	-	floral bracts |, densely marginally fringed; 	-	-	-	-	erect	erect	peduncle |, puberulent to glabrous; 	-	puberulent to glabrous	-	0.5-1 cm long	-	-	-	-	-	spike |, white to yellow, not apiculate; 	apiculate	-	white to yellow	7-8 cm long	-	-	-	-	-	-	-	-	-	blade |, not glandular-dotted, |, 	-	-	-	-	apex acuminate, 	acuminate	-	base unequally attached to petiole difference |, unequally cordate, rounded or obtusish, upper surface glabrous to pubescent, veins pubescent, lower surface sparsely to densely pubescent; 	cordate,ob,rounded,rounded or ob	glabrous to pubescent	-	-	0.3-0.4 cm	15-20 x 7-9 cm	-	-	-	-	rhombic, elliptic to subobovate	ob,ovate,rhombic	hardly to densely scabrous above	-	Petiole |, pubescent sometimes densely so, vaginate to apex, occasionally reddish tinged; 	-	-	pubescent	reddish	0.5-1.5 cm long	pinnately veined, secondary veins 5-6 per side, originating from lower 1/2 of primary vein, tertiary veins transverse and parallel reticulate. 	-	-	-	-	-	Stem crisp-pubescent or scabrous. 	-	scabrous	pubescent	-	-	-	-	-	-	-	
