-	/fruits	/fruits/shape	/fruits/shape	/fruits/texture	/fruits/texture	/fruits/position	/fruits/position	/fruits/hairs	/fruits/hairs	/fruits/colour	/fruits/colour	/fruits/apex	/fruits/apex/shape	/fruits/apex/shape	/fruits/apex/texture	/fruits/apex/texture	/fruits/apex/position	/fruits/apex/position	/fruits/apex/hairs	/fruits/apex/hairs	/fruits/dimensions (merged)	/fruits/dimensions (merged)/length	/fruits/dimensions (merged)/length/minimum	/fruits/dimensions (merged)/length/maximum	/fruits/dimensions (merged)/width	/fruits/dimensions (merged)/width/minimum	/fruits/dimensions (merged)/width/maximum	/fruits/dimensions (merged)/texture	/fruits/dimensions (merged)/texture	/fruits/stigma	/fruits/stigma/minimum	/fruits/stigma/maximum	/fruits/stigma/shape	/fruits/stigma/shape	/fruits/stigma/hairs	/fruits/stigma/hairs	/fruits/stigma/growth form	/fruits/stigma/growth form	/habit	/habit/minimum	/habit/maximum	/habit/texture	/habit/texture	/habit/hairs	/habit/hairs	/habit/growth form	/habit/growth form	/habit/height	/habit/height/minimum	/habit/height/maximum	/inflorescences	/inflorescences/minimum	/inflorescences/maximum	/inflorescences/shape	/inflorescences/shape	/inflorescences/position	/inflorescences/position	/inflorescences/colour	/inflorescences/colour	/inflorescences/floral bracts	/inflorescences/floral bracts/shape	/inflorescences/floral bracts/shape	/inflorescences/floral bracts/margin type	/inflorescences/floral bracts/margin type	/inflorescences/floral bracts/hairs	/inflorescences/floral bracts/hairs	/inflorescences/floral bracts/colour	/inflorescences/floral bracts/colour	/inflorescences/growth form	/inflorescences/growth form	/inflorescences/growth form/growth form	/inflorescences/growth form/growth form	/inflorescences/peduncle	/inflorescences/peduncle/minimum	/inflorescences/peduncle/maximum	/inflorescences/peduncle/shape	/inflorescences/peduncle/shape	/inflorescences/peduncle/hairs	/inflorescences/peduncle/hairs	/inflorescences/peduncle/colour	/inflorescences/peduncle/colour	/inflorescences/peduncle/length	/inflorescences/peduncle/length/minimum	/inflorescences/peduncle/length/maximum	/inflorescences/position	/inflorescences/position/colour	/inflorescences/position/colour	/inflorescences/rachises	/inflorescences/rachises/hairs	/inflorescences/rachises/hairs	/inflorescences/rachises/colour	/inflorescences/rachises/colour	/inflorescences/spikes	/inflorescences/spikes/shape	/inflorescences/spikes/shape	/inflorescences/spikes/growth form	/inflorescences/spikes/growth form	/inflorescences/spikes/colour	/inflorescences/spikes/colour	/inflorescences/spikes/length	/inflorescences/spikes/length/minimum	/inflorescences/spikes/length/maximum	/infructescences	/infructescences/growth form	/infructescences/growth form	/infructescences/colour	/infructescences/colour	/infructescences/dimensions (merged)	/infructescences/dimensions (merged)/length	/infructescences/dimensions (merged)/width	/infructescences/dimensions (merged)/minimum	/infructescences/dimensions (merged)/maximum	/infructescences/dimensions (merged)/texture	/infructescences/dimensions (merged)/texture	/internodes	/internodes/minimum	/internodes/maximum	/internodes/hairs	/internodes/hairs	/internodes/colour	/internodes/colour	/leaves	/leaves/minimum	/leaves/maximum	/leaves/blade	/leaves/blade/shape	/leaves/blade/shape	/leaves/blade/texture	/leaves/blade/texture	/leaves/blade/hairs	/leaves/blade/hairs	/leaves/blade/colour	/leaves/blade/colour	/leaves/blade/apex	/leaves/blade/apex/shape	/leaves/blade/apex/shape	/leaves/blade/apex/hairs	/leaves/blade/apex/hairs	/leaves/blade/base	/leaves/blade/base/shape	/leaves/blade/base/shape	/leaves/blade/base/hairs	/leaves/blade/base/hairs	/leaves/blade/base/growth form	/leaves/blade/base/growth form	/leaves/blade/base/colour	/leaves/blade/base/colour	/leaves/blade/base/differential distance	/leaves/blade/base/differential distance/minimum	/leaves/blade/base/differential distance/maximum	/leaves/blade/dimensions	/leaves/blade/dimensions/length	/leaves/blade/dimensions/length/minimum	/leaves/blade/dimensions/length/maximum	/leaves/blade/dimensions/width	/leaves/blade/dimensions/width/minimum	/leaves/blade/dimensions/width/maximum	/leaves/blade/dimensions/minimum	/leaves/blade/dimensions/maximum	/leaves/blade/dimensions/growth form	/leaves/blade/dimensions/growth form	/leaves/blade/margins	/leaves/blade/margins/minimum	/leaves/blade/margins/maximum	/leaves/blade/margins/shape	/leaves/blade/margins/shape	/leaves/blade/margins/hairs	/leaves/blade/margins/hairs	/leaves/blade/shape	/leaves/blade/shape	/leaves/blade/shape/minimum	/leaves/blade/shape/maximum	/leaves/blade/shape/shape	/leaves/blade/shape/shape	/leaves/blade/texture	/leaves/blade/texture/colour	/leaves/blade/texture/colour	/leaves/petiole	/leaves/petiole/minimum	/leaves/petiole/maximum	/leaves/petiole/texture	/leaves/petiole/texture	/leaves/petiole/position	/leaves/petiole/position	/leaves/petiole/hairs	/leaves/petiole/hairs	/leaves/petiole/colour	/leaves/petiole/colour	/leaves/petiole/length	/leaves/petiole/length/minimum	/leaves/petiole/length/maximum	/leaves/veins	/leaves/veins/minimum	/leaves/veins/maximum	/leaves/veins/shape	/leaves/veins/shape	/leaves/veins/texture	/leaves/veins/texture	/leaves/veins/position	/leaves/veins/position	/leaves/veins/hairs	/leaves/veins/hairs	/leaves/veins/colour	/leaves/veins/colour	/stems	/stems/shape	/stems/shape	/stems/texture	/stems/texture	/stems/hairs	/stems/hairs	/stems/growth form	/stems/growth form	/stems/colour	/stems/colour	/stems/length	/stems/length/minimum	/stems/length/maximum	/habitat	/habitat/growth form	/habitat/growth form	/habitat/colour	/habitat/colour	/habitat/altitude	/habitat/altitude/minimum	/habitat/altitude/maximum
Piper aduncum 	fruits obovoid, trigonous or somewhat tetragonous, |, glabrous or glabrescent, glandular, 	4306	ob,ovoid	0	-	0	-	71	glabrous	0	-	-	0	-	0	-	0	-	0	-	0.7-0.8 mm in diam.	-	-	-	-	-	-	0	-	stigmas 3, sessile.	-	-	0	-	0	-	0	-	Shrub or treelet, 	-	-	0	-	0	-	0	-	3-7 m tall	3	7	-	-	-	0	-	0	-	0	-	floral bracts densely marginally fringed; 	0	-	0	-	0	-	0	-	127	recurved	127	recurved	peduncle |, sparsely pubescent; 	-	-	0	-	386	pubescent	0	-	0.7-1.2(-2.5) cm long	0.7	1.2	-	0	-	-	0	-	0	-	spike |, white to green, apiculate; 	616	apiculate	0	-	2438	white to green	8-15 cm long	8	15	Infructescence recurved;      	127	recurved	0	-	-	-	-	-	-	0	-	upper internodes rather slender. 	-	-	0	-	0	-	Leaves somewhat glandular-dotted;      	-	-	blade |, yellow-green, |, 	0	-	0	-	0	-	782	green,yellow	apex acuminate, 	124	acuminate	0	-	base unequally attached to petiole |, rounded to subcordate, sparsely pubescent at least on veins above or glabrescent, sparsely pubescent or glabrescent below, somewhat rugulose; 	6309	rounded to subcordate	392	pubescent or glabrescent	0	-	0	-	-	-	-	12-24 x 3-8 cm	24	-	-	3	-	-	12	24	0	-	-	-	-	0	-	0	-	0	lanceolate or lanceolate-oblong or elliptic-ovate	-	-	4798	oblong,ovate	scabrous	0	-	petiole |, pubescent, vaginate near base; 	-	-	0	-	0	-	386	pubescent	0	-	0.3-0.8 cm long	-	-	pinnately veined, secondary veins 6-8 per side, arising from 1/2 to 3/4 of primary vein, sharply ascending, impressed above, prominent below, tertiary veins parallel between secondaries, minor veins reticulate. 	1	3	0	-	0	-	0	-	0	-	0	-	Stem sparsely pubescent to glabrescent;      	0	-	0	-	391	pubescent to glabrescent	0	-	0	-	-	-	-	in open or somewhat shady places.	0	-	0	-	-	-	-
Piper aequale 	fruits oblongoid to trigonous, |, brownish green, glabrous, 	4798	oblongoid	0	-	0	-	71	glabrous	285	brownish,green	-	0	-	0	-	0	-	0	-	0.7-1(-3) mm in diam.	-	-	-	-	-	-	0	-	stigmas 3, sessile.	-	-	0	-	0	-	0	-	Shrub or treelet, |, glabrous. 	-	-	0	-	71	glabrous	0	-	1-4 m tall	1	4	-	-	-	0	-	0	-	0	-	floral bracts marginally fringed. 	0	-	0	-	0	-	0	-	43	erect	43	erect	peduncle slender, 	-	-	0	-	0	-	0	-	1-1.5 cm long	1	1.5	-	0	-	rachis glabrous; 	71	glabrous	0	-	spike |, white or green, apiculate or not; 	616	apiculate	0	-	2439	white or green	to 10 cm long	-	10	Infructescence (grey-)green;      	0	-	782	green,grey	-	-	-	-	-	0	-	-	-	-	0	-	0	-	-	-	-	blade |, not conspicuously glandular-dotted, shiny green above, pale below, often drying yellowish green, |, 	0	-	0	-	0	-	782	green,yellowish	apex acuminate, 	124	acuminate	0	-	base equally attached to petiole, acute, cuneate or obtuse, may be truncate or subcordate on sterile branches; 	247	acute,subcordate,cuneate,cuneate or ob,obtuse,truncate,truncate or subcordate	0	-	0	-	0	-	-	-	-	12-23 x 3.5-9(-11) cm	23	-	-	3.5	-	-	12	23	0	-	-	-	-	0	-	0	-	0	lanceolate to lance-elliptic or elliptic-ovate, broadly ovate on sterile branches, often asymmetrical: with one side wider in the lower half	-	-	739	asymmetrical,ovate	membranous or subcoriaceous	0	-	Petiole slender, |, vaginate only at base; 	-	-	0	-	0	-	0	-	0	-	1-1.5(-4) cm long	1	1.5	pinnately veined, secondary veins 4-6 per side, originating at a steep angle from 3/4 or more of primary vein, 2-3 lower ones from near base, slightly prominulous on both sides, often pale or yellow, tertiary venation inconspicuously reticulate, with some more prominent ones transverse. 	3	6	0	-	0	-	0	-	0	-	2486	yellow	-	0	-	0	-	0	-	0	-	0	-	-	-	-	in forest or even in secondary vegetation, often on granitic outcrops; 	0	-	0	-	from 0 to 1500 m	0	1500
Piper alatabaccum 	Fruits separate, obovoid with 4 prominent, deltoid or lobed projections at top, glabrous or papillose,      	2830	deltoid,ob,ovoid	0	-	0	-	71	glabrous	0	-	-	0	-	0	-	0	-	0	-	-	-	-	-	-	-	-	0	-	stigmas 4, sessile.	-	-	0	-	0	-	0	-	Shrub or treelet, |, glabrous. 	-	-	0	-	71	glabrous	0	-	2-3 m tall	2	3	-	-	-	0	-	0	-	0	-	floral bracts small, rounded peltate, glabrous, caducous; 	6274	rounded	0	-	71	glabrous	0	-	43	erect	43	erect	peduncle 	-	-	0	-	0	-	0	-	to 1.2 cm long	-	1.2	-	0	-	rachis brownish crisp-pubescent. 	386	pubescent	285	brownish	spike |, white turning green, not apiculate; 	616	apiculate	0	-	782	green,white	5-8 cm long, to 12 cm in fruit	5	12	-	0	-	0	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	-	-	-	blade not conspicuously glandular-dotted, 	0	-	0	-	0	-	0	-	apex long-acuminate, 	124	acuminate	0	-	base equally attached to petiole, acute; 	247	acute	0	-	0	-	0	-	-	-	-	20-31 x 6-12 cm	31	-	-	6	-	-	20	31	0	-	-	-	-	0	-	0	-	0	elliptic	-	-	0	-	-	0	-	Petiole |, vaginate at base; 	-	-	0	-	0	-	0	-	0	-	1.2-2.5 cm long	1.2	2.5	pinnately veined, secondairy veins 7-10 per side, originating from throughout primary vein. 	7	10	0	-	0	-	0	-	0	-	0	-	-	0	-	0	-	0	-	0	-	0	-	-	-	-	from understory of mixed forest (on slopes);  	0	-	0	-	to 750 m	-	750
Piper amalago 	Fruits ovoid, conical to apex, |, glabrous or papillose, 	1969	conical,ovoid	0	-	0	-	71	glabrous	0	-	-	0	-	0	-	0	-	0	-	ca. 1 mm in diam. |, 1.5-2 mm long	-	-	-	-	-	-	0	-	stigmas 3-4, sessile.	3	4	0	-	0	-	0	-	Shrub, 	-	-	0	-	0	-	0	-	2-4(-7) m tall	2	4	-	-	-	0	-	0	-	0	-	floral bracts cucullate, glabrous; 	2215	cucullate	0	-	71	glabrous	0	-	43	erect	43	erect	peduncle |, glabrous; 	-	-	0	-	71	glabrous	0	-	0.8-1.5 cm long	0.8	1.5	-	0	-	rachis minutely pubescent; 	386	pubescent	0	-	spike |, not apiculate; 	616	apiculate	0	-	0	-	6-7 cm long	6	7	-	0	-	0	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	-	-	-	-	0	-	0	-	0	-	0	-	apex acuminate, 	124	acuminate	0	-	base equally attached to petiole, acute to subcordate, glabrous or pubescent on veins below; 	280	acute to subcordate	93	glabrous or pubescent	0	-	0	-	-	-	-	8-11(-15) x 2.5-6(-10) cm	-	-	-	-	-	-	8	11	0	-	-	-	-	0	-	0	-	0	lanceolate to rounded or subobovate	-	-	4306	ob,ovate,rounded	-	0	-	Petiole slender, |, vaginate up to middle, glabrous or pubescent; 	-	-	0	-	0	-	93	glabrous or pubescent	0	-	0.5-1 cm long	-	-	palmately 5-7-veined, tertiary venation obscure. 	5	7	4306	ob	0	-	0	-	0	-	0	-	Stem glabrous or minutely pubescent on upper internodes. 	0	-	0	-	71	glabrous,pubescent	0	-	0	-	-	-	-	-	0	-	0	-	from 0 to 1500 m	-	-
Piper angustifolium 	fruits depressed globose or obovoid, |, glabrous, 	3884	globose or ob,ovoid	0	-	0	-	71	glabrous	0	-	-	0	-	0	-	0	-	0	-	ca. 2.5 mm wide (when dried)	-	-	-	-	-	-	0	-	stigmas 3(-4?), sessile.	-	-	0	-	0	-	0	-	Shrub or subshrub 	-	-	0	-	0	-	0	-	to 1.5 m tall	-	1.5	-	-	-	0	-	0	-	0	-	floral bracts cucullate, glabrous. 	2215	cucullate	0	-	71	glabrous	0	-	43	erect	43	erect	peduncle |, retrorsely pubescent; 	-	-	0	-	386	pubescent	0	-	0.2-0.4(-0.7) cm long	0.2	0.4	-	0	-	-	0	-	0	-	spike almost globose, |, apiculate; 	616	apiculate,globose	0	-	0	-	to 1 x 1.5 cm	-	1	Infructescence erect, green;      	43	erect	782	green	-	-	-	-	-	0	-	-	-	-	0	-	0	-	-	-	-	blade |, not conspicuously glandular-dotted, |, 	0	-	0	-	0	-	0	-	apex long-acuminate, 	124	acuminate	0	-	base equal or almost equally attached to petiole, acute, glabrous; 	247	acute	71	glabrous	0	-	0	-	-	-	-	5-11 x 1-2.8 cm	11	-	-	1-2.8	1	2.8	5	11	0	-	-	-	-	0	-	0	-	0	narrowly lanceolate	-	-	0	-	not scabrous	0	-	petiole |, vaginate at base, retrorsely pubescent; 	-	-	0	-	0	-	386	pubescent	0	-	0.1-0.4 cm long	-	-	pinnately veined, secondary veins 6-10 per side, originating from throughout primary vein, plane above, prominulous below, anastomosing well within margin. 	6	10	0	-	703	thin	0	-	0	-	0	-	Stem retrorsely pubescent with swollen nodes. 	0	-	0	-	386	pubescent	0	-	0	-	-	-	-	in primary forest, 	0	-	0	-	up to 500 m	-	500
Piper anonifolium 	fruits depressed globose, glabrous,       	3814	globose	0	-	0	-	71	glabrous	0	-	-	0	-	0	-	0	-	0	-	-	-	-	-	-	-	-	0	-	stigmas 3, sessile.	-	-	0	-	0	-	0	-	Shrub, occasionally a tree, |, nodose, glabrous. 	-	-	0	-	71	glabrous	0	-	0.5-3 m tall	0.5	3	-	-	-	0	-	0	-	0	-	floral bracts cucullate, not fringed, often greyish when dried; 	2215	cucullate	0	-	0	-	853	greyish	43	erect	43	erect	peduncle 	-	-	0	-	0	-	0	-	0.5-1 cm long	0.5	1	-	0	-	rachis glabrous; 	71	glabrous	0	-	spike |, white, yellow or (greyish) green, apiculate; 	616	apiculate	0	-	782	green,greyish,white,yellow	2.5-4(-5) cm long	2.5	4	Infructescence 	0	-	0	-	to 1.2(-2) cm thick	-	-	-	-	664	thick	-	-	-	0	-	0	-	-	-	-	blade |, somewhat glandular-dotted, often bicoloured, sometimes glaucous or whitish below in vivo, drying silvery shiny, |, 	0	-	0	-	0	-	1705	red,silver,whitish	apex acute to short-acuminate, 	124	acuminate,acute	0	-	base equal or almost equally attached to petiole, cuneate or acute, glabrous; 	2344	cuneate or acute	71	glabrous	0	-	0	-	-	-	-	8-16 x 2-4.7 cm	16	-	-	2-4.7	2	4.7	8	16	0	-	-	-	-	0	-	0	-	0	lanceolate to oblong to elliptic or ovate, 3-4 x longer than wide	3	4	4798	oblong,ovate	thin-coriaceous to coriaceous, may be somewhat rugose, not scabrous	0	-	Petiole |, canaliculate, ciliate on margin or keel, vaginate at base only; 	-	-	0	-	0	-	1	ciliate	0	-	0.5-1 cm long	-	-	pinnately veined, secondary veins 8-12 per side, originating from throughout primary vein, plane to impressed above, prominent below, tertiary veins reticulate. 	8	12	0	-	0	-	0	-	0	-	0	-	Stem glabrous except for 1 or 2 subnodal lines of hairs decurrent from petioles. 	2584	decurrent	0	-	71	glabrous,hairs	0	-	0	-	-	-	-	-	0	-	0	-	-	-	-
Piper arboreum 	Fruits dark green, laterally compressed, oblongoid or obovoid, |, glabrous or slightly papillose, 	4870	oblongoid or ob,ovoid	0	-	23	lateral	71	glabrous	782	green	-	0	-	0	-	0	-	0	-	0.8-1 mm in diam. |, 2 mm long	-	-	-	-	-	-	0	-	stigmas 3-4, sessile.	-	-	0	-	0	-	0	-	Shrub or treelet, |, sometimes with long, arching branches, often strongly branching. 	-	-	0	-	0	-	0	-	2-7 m tall	2	7	-	-	-	0	-	0	-	0	-	floral bracts |, densely marginally fringed, conspicuously arranged in whorls; 	0	-	0	-	0	-	0	-	43	erect	43	erect	peduncle moderately stout, 	-	-	0	-	0	-	0	-	0.5-1 cm long	-	-	-	0	-	rachis glabrous; 	71	glabrous	0	-	spike |, whitish, yellow or pale green, apiculate, densely flowered; 	616	apiculate	0	-	782	green,red,whitish,yellow	5-10(-17) cm long	5	10	-	0	-	0	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	-	-	-	blade shiny green above, lighter to whitish below, 	0	-	0	-	0	-	782	green,whitish	apex acute to (long-)acuminate, 	124	acuminate,acute	0	-	base unequally attached to petiole difference |, longest side obtuse, rounded to cordulate, in narrow leaves acute, shorter side acute to obtuse, glabrous or minutely pubescent below; 	326	acute to obtuse,rounded	71	glabrous,pubescent	0	-	0	-	0.5-1(-3) cm (less in young leaves)	0.5	1	10-25 x 6-11 cm	25	-	-	6	-	-	10	25	0	-	margin protracted beyond base of blade forming a ligule-like structure to 4 mm long	-	4	0	-	0	-	0	oblong-ovate, (narrowly) ovate or (narrowly) elliptic	-	-	4798	oblong,ovate	-	0	-	Petiole glabrous or minutely pubescent, |, deeply vaginate, 	-	-	0	-	0	-	71	glabrous,pubescent	0	-	0.3-2 cm long	0.3	2	pinnately veined, secondary veins 8-10 per side, originating from throughout primary vein, loop-connected towards apex, tertiary veins inconspicuously reticulate. 	8	10	0	-	0	-	0	-	0	-	0	-	Stem glabrous or minutely pubescent, upper internodes smooth or somewhat lenticellate. 	0	-	586	smooth	71	glabrous,pubescent	0	-	0	-	-	-	-	in moist tropical rain forest high, dense, mixed or swamp forest, occasionally in secondary vegetation, 	0	-	0	-	from 0 to 1500 m	-	-
Piper augustum 	Fruits oblongoid, glabrous, may be somewhat papillose, |, becoming stylose or mammiform at apex, 	4798	oblongoid	0	-	0	-	71	glabrous	0	-	-	0	-	0	-	0	-	0	-	2 mm in diam. |, to 4 mm long	-	-	-	-	-	-	0	-	stigmas obsolete.	-	-	4306	ob	0	-	0	-	Shrub or treelet, |, glabrous, except for ciliate leaf margin. 	-	-	0	-	1	ciliate,glabrous	0	-	to 2-4(-8) m tall	2	2	-	-	-	0	-	0	-	0	-	floral bracts densely marginally fringed. 	0	-	0	-	0	-	0	-	106	pendent, may be erect or horizontal at first	43	erect,pendent	peduncle glandular-dotted, |, red to brown; 	-	-	0	-	0	-	1714	red to brown	1-2(-3) cm long	1	2	-	0	-	rachis glabrous, sometimes red; 	71	glabrous	1705	red	spike 	0	-	0	-	0	-	4-20 cm long	4	20	-	0	-	0	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	-	-	-	blade glandular-dotted, 	0	-	0	-	0	-	0	-	apex acute, 	247	acute	0	-	base almost equal to unequally attached to petiole, acute or obtuse, occasionally truncate; 	327	acute or obtuse,truncate	0	-	0	-	0	-	-	-	-	15-35 x (6-)9-15(-18) cm	-	-	-	-	-	-	15	35	0	-	margin ciliate, 	-	-	0	-	1	ciliate	0	elliptic-ovate to oblong-elliptic	-	-	5246	ovate to oblong	-	0	-	Petiole |, vaginate at base; 	-	-	0	-	0	-	0	-	0	-	0.5-4 cm long	0.5	4	pinnately veined, secondary veins 10-16 per side, strongly curved, originating from throughout primary vein. 	10	16	0	-	0	-	0	-	0	-	0	-	-	0	-	0	-	0	-	0	-	0	-	-	-	-	often in humid places, also recorded from secondary vegetation, 	0	-	0	-	from 0 to 1500 m	-	-
Piper aulacospermum 	Fruits 4-sulcate, globose, |, truncate at apex, glabrous, 	3814	globose,truncate	0	-	0	-	71	glabrous	0	-	-	0	-	0	-	0	-	0	-	3-4.5 mm in diam.	-	-	-	-	-	-	0	-	stigmas 4, globose, sessile; 	-	-	3814	globose	0	-	0	-	Small shrub, |, sparingly branched. 	-	-	0	-	0	-	0	-	1-2.5 m tall	1	2.5	Inflorescence |, white, becoming green; 	-	-	0	-	0	-	782	green,white	floral bracts saccate or galeate, glabrous, densely fimbriate; 	0	-	0	-	71	glabrous	0	-	43	erect	43	erect	peduncle |, minutely pubescent; 	-	-	0	-	386	pubescent	0	-	1 cm long	-	-	-	0	-	-	0	-	0	-	spike |, not apiculate; 	616	apiculate	0	-	0	-	0.5-1 x 0.1-0.2 cm long, in fruit 2.5-4.5 x 0.3-0.45 cm	0.5	1	-	0	-	0	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	-	-	-	blade |, not conspicuously glandular-dotted, |, 	0	-	0	-	0	-	0	-	apex abruptly long-acuminate, 	124	acuminate	0	-	base equal or almost equally attached to petiole, acute, glabrous; 	247	acute	71	glabrous	0	-	0	-	-	-	-	13-16.5 x (3.5-)4-6.5 cm	-	-	-	-	-	-	13	16.5	0	-	-	-	-	0	-	0	-	0	oblong or elliptic-oblong	-	-	4798	oblong	thick chartaceous, not scabrous	0	-	Petiole |, glabrous, deeply vaginate at base; 	-	-	0	-	0	-	71	glabrous	0	-	0.7-1.3 cm long	0.7	1.3	pinnately veined, secondary veins 8-12 per side, prominent on both sides, anastomosing well within margin, originating from throughout primary vein, tertiary veins widely, distinctly reticulate. 	8	12	0	-	703	thin	0	-	0	-	0	-	Stem striate or canaliculate, glabrous. 	0	-	0	-	71	glabrous	0	-	0	-	-	-	-	in lowland moist forest, 	0	-	0	-	200-450 m	200	450
Piper avellanum 	Fruits trigonous or depressed globose, |, glabrous and papillose, 	3814	globose	0	-	0	-	71	glabrous	0	-	-	0	-	0	-	0	-	0	-	to 2 mm in diam.	-	-	-	-	-	-	0	-	stigmas 3, sessile.	-	-	0	-	0	-	0	-	Shrub or subshrub |, densely short crisp-pubescent, hairs 	-	-	0	-	106	hairs,pubescent	0	-	to 2 m tall	-	2	-	-	-	0	-	0	-	0	-	floral bracts densely marginally fringed. 	0	-	0	-	0	-	0	-	106	pendent	106	pendent	peduncle slender, |, pubescent; 	-	-	0	-	386	pubescent	0	-	0.5-1 cm long	-	-	-	0	-	rachis glabrous; 	71	glabrous	0	-	spike |, white, yellow or green, occasionally apiculate or not; 	616	apiculate	0	-	2415	white,yellow	3-5.5(-10) cm long	3	5.5	-	0	-	0	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	-	-	-	blade not conspicuously glandular-dotted, 	0	-	0	-	0	-	0	-	apex short-acuminate or acute, 	128	acuminate or acute	0	-	base unequally attached to petiole difference |, rounded, obtuse or subacute, glabrous or sparsely short-pubescent above, sparsely to densely so below; 	4927	obtuse or subacute,rounded	71	glabrous,pubescent	0	-	0	-	0.1-0.5 cm	0.1	0.5	7-18 x 3-7.5 cm	18	-	-	3-7.5	3	7.5	7	18	0	-	margin ciliate, 	-	-	0	-	1	ciliate	0	lance-elliptic or lanceolate-oblong or oblanceolate	-	-	4870	oblong or ob	-	0	-	Petiole |, vaginate to apex, often conspicuously winged, green or maroon; 	-	-	0	-	0	-	0	-	818	green or maroon	0.3-1.3 cm long	0.3	1.3	pinnately veined, secondary veins 5-6(-8) per side, originating from lower 3/4 of primary vein. 	5	6	0	-	0	-	0	-	0	-	0	-	-	0	-	0	-	0	-	0	-	0	-	-	-	-	in (dense) forest, in river-bank or marsh forest and in secondary vegetation.	0	-	0	-	-	-	-
Piper bartlingianum 	Fruits ovoid to tetragonous, separate, somewhat ridged or winged (at least when dried), glabrous may be somewhat papillose,      	5290	ovoid	0	-	0	-	71	glabrous	0	-	-	0	-	0	-	0	-	0	-	-	-	-	-	-	-	-	0	-	stigmas 4, sessile.	-	-	0	-	0	-	0	-	Shrub, subshrub or treelet, |, somewhat nodose, glabrous. 	-	-	0	-	71	glabrous	0	-	1-4 m tall	-	-	-	-	-	0	-	0	-	0	-	floral bracts cucullate, pilose on inner side. 	2215	cucullate	0	-	316	pilose	0	-	43	erect	43	erect	peduncle |, glabrous; 	-	-	0	-	71	glabrous	0	-	1 cm long	-	-	-	0	-	rachis hirsute; 	141	hirsute	0	-	spike |, green, not apiculate; 	616	apiculate	0	-	782	green	10-12 cm long	10	12	-	0	-	0	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	-	-	-	blade glossy, |, not conspicuously glandular-dotted, |, 	0	-	0	-	0	-	0	-	apex acuminate, 	124	acuminate	0	-	base equal or almost equally attached to petiole, acute, glabrous; 	247	acute	71	glabrous	0	-	0	-	-	-	-	13-30 x 5-8(-10) cm	30	-	-	5	-	-	13	30	0	-	-	-	-	0	-	0	-	0	elliptic-oblong	-	-	4798	oblong	coriaceous, not scabrous	0	-	Petiole |, glabrous, vaginate near or at base; 	-	-	0	-	0	-	71	glabrous	0	-	0.5 cm long	-	-	pinnately veined, secondary veins 6-8 per side, flat to impressed above, prominent below, anastomosing well within margin, originating from throughout primary vein, tertiary veins widely reticulate. 	6	8	3445	flat	703	thin	0	-	0	-	0	-	-	0	-	0	-	0	-	0	-	0	-	-	-	-	in forest on terra firme and in marsh forest, on sand, clay or granite, 	0	-	0	-	up to 700 m	-	-
Piper bolivaranum 	fruits trigonous, |, glabrous, green, 	0	-	0	-	0	-	71	glabrous	782	green	-	0	-	0	-	0	-	0	-	to 1 mm wide	-	-	-	-	-	-	0	-	stigmas 3, sessile.	-	-	0	-	0	-	0	-	Subshrub 	-	-	0	-	0	-	0	-	to 0.1-1.5 m tall	0.1	0.1	-	-	-	0	-	0	-	0	-	floral bracts trigonous, densely marginally fringed. 	0	-	0	-	0	-	0	-	53	erect or pendent	53	erect or pendent	peduncle |, glabrous; 	-	-	0	-	71	glabrous	0	-	0.5-1.1(-2.5) cm long	0.5	1.1	-	0	-	-	0	-	0	-	spike|, white, not apiculate; 	616	apiculate	0	-	2415	white	1-1.7(-4.5) cm long	1	1.7	Infructescence erect, green;      	43	erect	782	green	-	-	-	-	-	0	-	-	-	-	0	-	0	-	-	-	-	blade |, not conspicuously glandular-dotted, |, 	0	-	0	-	0	-	0	-	apex long-acuminate, 	124	acuminate	0	-	base equal, acute, glabrous above, glabrescent or glabrous below; 	247	acute	71	glabrous	0	-	0	-	-	-	-	7-10.5(-16.5) x 0.7-1.5(-4.5) cm	-	-	-	-	-	-	7	10.5	0	-	-	-	-	0	-	0	-	0	narrowly lanceolate	-	-	0	-	not scabrous	0	-	Petiole |, glabrous, vaginate to apex; 	-	-	0	-	0	-	71	glabrous	0	-	(0.2-)0.4-0.6(-1) cm long	0.4	0.6	pinnately veined, secondary veins 2-3 per side, originating from lower 1/2 or 2/3 of primary vein, with many intermediates up to apex, secondary veins plane above, prominulous below, tertiary veins parallel. 	2	3	0	-	0	-	0	-	0	-	0	-	Stem glabrous. 	0	-	0	-	71	glabrous	0	-	0	-	-	-	-	-	0	-	0	-	800-1100 m	800	1100
